PROVIDERID,PROVIDERNAME,COMPANYNAME,PROVIDERCOUNTRY,STATUS,PUBLICPRIVATE,SERVICENAME,ENTITY,PROFILE,FACILITIES,ACCEPTSDUOLINGO,ACCEPTSIELTS,ACCEPTSTOEFL,ACCEPTSSAT,ACCEPTSACT,WEBSITEURL,SCHOLARSHIPS,ACCOMMODATION,SPECIALSERVICES,AIRPORTPICKUP,STUDYABROAD,PROVIDERTYPE,GLOBALRANKING,AUSTRALIANRANKING,MEMBERSHIPS,CRICOSPROVIDERCODE,TWITTERID,FACEBOOK,LINKEDIN,PINTEREST,YOUTUBE,INSTAGRAM,ISACTIVE,RECOGNISEDAREAOFSTUDY,HASONCAMPUSACCOMMODATION,SCHOOLHASESL,URLWITHDRAWALPOLICY,URLIMPORTANTDATES,URLINTERNATIONALSTUDENTSUPPORT,URLFEESCHEDULE,URLSCHOLARSHIPINFO,URLPROVIDERHOME,RESEARCHDEGREEINFO,RESEARCHDEGREESCHIP,RESEARCHDEGREESCHOLARSHIP,EDUCATIONGROUP,ISAFFILIATED,URLSCHOOLGUARDIANSHIP,SCHOOLGENDER,SCHOOLIBOFFERED,SCHOOLACCOMMODATIONMODES,SCHOOLYEARSOFFERED,URLPROSPECTUS,KEYWORDS,ProviderCRMID
SN_P_0011,Victoria University,Victoria University,Australia,Inactive,Public,Education,Independent,"Victoria University (VU) is the university of the west.

Victoria University achieved university status in 1991, but our preceding institutions date back to 1916. We are one of Australia's few dual-sector universities. Today, we have over 40,000 enrolled higher education, and vocational education and training students studying on our campuses.

VU has received the following rankings:

ranked in the world's top 2% (Times Higher Education THE World University Rankings 2018, 2019 and 2020)
ranked 45 in the world's top universities aged under 50 (THE Young University Rankings 2019)
ranked number one in Australia for employability (2020 QILT Employer Satisfaction Survey).  
As one of 39 public universities in Australia, graduates can be assured their qualification from VU is being awarded from a university operating in a world-class education system.

Being a dual-sector university means that our students can easily pathway from vocational education to higher education such as from a certificate or diploma course through to an undergraduate degree or even a postgraduate qualification by coursework or research.","Airport pickup and reception services
Canteen/Cafeteria Facility
Course and career counselling services
International student clubs and associations
Library on Campus
Off campus accommodation
On campus medical facilities
Parking
Religious facilities - Combined facilities
Religious facilities - Muslim prayer rooms
Social activities
Special English language
Special enrolment and orientation
Sporting facilities
Sporting facilities - Gym
Sporting facilities - Swimming pool
Sporting facilities - Team sports
Sporting facilities - Variety of clubs
Transportation
Wifi
",YES,YES,YES,,,https://www.vu.edu.au/,https://www.vu.edu.au/study-at-vu/fees-scholarships/scholarships/international-scholarships,"On Campus : 

Victoria University is pleased to offer guaranteed accommodation to new and continuing full-time domestic and international students. This offer is in partnership with UniLodge, our accommodation provider.

UniLodge has accommodation in:

Footscray (right opposite to our Footscray Park Campus and close to our Footscray Nicholson Campus)
Melbourne CBD (close to our city campuses)
many other locations across Melbourne.

Off Campus : 

Here we outline the accommodation options, and support services for finding a home.

Homestays - placement with a local hosts, in private homes.
Private rentals (vacant properties) - houses, flats, units, self-contained bungalows and apartments, usually unfurnished.
Student apartments - furnished apartment or studio apartment, often with common facilities and recreation services. UniLodge Victoria University(external link) is our modern fully-furnished student accommodation across the road from Footscray Park Campus.
Share house - Room in a house with shared use of household facilities.
Short-stay accommodation - Hotels, hostels and private rooms give you somewhere to stay while you look for longer-term options.
Emergency and crisis housing - Should you find yourself at risk of homelessness, emergency support is available.",,,,,741,29,"Australian Consortium for Social and Political Research Incorporated (ACSPRI), Australian Mathematical Sciences Institute (AMSI)",00124K,,,,,,,,"Arts, Business, Computers and IT, Education, Engineering and Science, Health and Biomedicine, Law and Justice, Sports and Exercise, Trades, English Language",YES,,https://www.vu.edu.au/current-students/your-course/enrolment/change-your-enrolment/withdraw-from-your-course,https://www.vu.edu.au/current-students/your-course/timetables-calendars/academic-calendar,https://www.vu.edu.au/current-students/advice-support/international-student-support,https://www.vu.edu.au/study-at-vu/fees-scholarships/course-tuition-fees,https://www.vu.edu.au/study-at-vu/fees-scholarships/scholarships/international-scholarships,https://www.vu.edu.au/,https://www.vu.edu.au/study-at-vu/apply-to-vu/apply-for-graduate-research,https://www.vu.edu.au/study-at-vu/fees-scholarships/scholarships/graduate-research-scholarships,,,YES,,,,,,https://content.vu.edu.au/sites/default/files/documents/2024-08/2025-international-course-guide.pdf,"VU, Victoria University",433
SN_P_0012,Murdoch University,Murdoch University,Australia,Active,Public,Education,Independent,"At Murdoch University, we've been committed to free-thinking since our inception in the 60's. We've created a place of learning and discovery through our leading academics, innovative courses, and ground-breaking research.

We pioneered access to a university education for people from diverse backgrounds, and are proud to see our students take their Murdoch education to the world to solve its challenges. Throughout this journey we've remained committed to adapting and growing in our free-thinking. In this way, we continue to be a creative force for education and research.","Airport pickup and reception services
Canteen/Cafeteria Facility
Course and career counselling services
International student clubs and associations
Library on Campus
Off campus accommodation
On campus medical facilities
Parking
Religious facilities - Christianity
Religious facilities - Combined facilities
Social activities
Special enrolment and orientation
Sporting facilities
Sporting facilities - Gym
Sporting facilities - Swimming pool
Sporting facilities - Team sports
Sporting facilities - Variety of clubs
Wifi
",NO,YES,YES,,,https://www.murdoch.edu.au/,https://www.murdoch.edu.au/study/international-students/studying-at-murdoch/fees-and-scholarships/scholarships,"As a Murdoch University student, you'll have a range of accommodation options on and off campus.

*Murdoch University Village
Be part of a vibrant community of more than 800 students at Murdoch University Village. The village features a wide range of secure apartments as well as recreational facilities, including a beach volleyball court, swimming pool, study lounges and a student lounge.

You can also join the unique Live, Learn and Grow residential life program which will help you adjust to campus life.

The village is owned and operated by Campus Living Villages in close partnership with Murdoch University.

*Shared or independent accommodation
If you'd like to live off campus, there is a range of shared and independent accommodation available to you. To be close to our Perth campus, consider the following suburbs: Murdoch, Kardinya, Leeming, Coolbellup, Bibra Lake, North Lake, Bull Creek, Winthrop, Bateman or Willagee.

*Live with an Australian family
If you're coming to Australia from overseas and would like to experience life as part of an Australian family, you can apply for homestay accommodation.",,,,University,423,23,NA,00125J,,,,,,,,"Business and Law, Creative Arts and Communication, Engineering, Health, Science, Social and Cultural Studies, Teaching, Technology",YES,,https://www.murdoch.edu.au/mymurdoch/support-advice/student-admin/enrolment/withdrawing,https://www.murdoch.edu.au/mymurdoch/support-advice/student-admin/key-dates,https://www.murdoch.edu.au/study/international-students,https://www.murdoch.edu.au/study/fees/course-fees,https://www.murdoch.edu.au/study/international-students/studying-at-murdoch/fees-and-scholarships/scholarships,https://www.murdoch.edu.au/,https://www.murdoch.edu.au/study/how-to-apply/apply-for-a-research-degree,https://www.murdoch.edu.au/study/scholarships/research-scholarships,,,YES,,,,,,https://www.murdoch.edu.au/mymurdoch/support-advice/student-admin/murdoch-handbook,"MU, Murdoch University",401
SN_P_0013,The University of Western Australia (UWA),The University of Western Australia,Australia,Active,Public,Education,Education Group,"It has almost 24,000 students enrolled across four faculties. A model of broad undergraduate studies followed by postgraduate professional qualifications is designed to produce well-rounded graduates, as well as provide additional entry opportunities for a wider range of students.

As Western Australia's premier university, UWA is the highest ranked University in Western Australia (ARWU 2019) and is also a world Top 100 University (ARWU 2019 and QS 2020).

As a research-intensive university, we're part of the Group of Eight (a coalition of top research universities in the country). We're also a foundation member of the Matariki Network of high-quality, research-intensive universities with a particular focus on student experience.

The consistently high entry (Australian Tertiary Admission Rank) scores for UWA mean that the University's undergraduate cohort is the most academically talented of any West Australian university and generally is recognised as being of the highest quality in Australia.
In the last 60 years, students at UWA have been awarded 57 Rhodes scholarships.
We count among our graduates:
former Prime Minister, the late Hon Dr Bob Hawke, AC
His Excellency the Hon Dr Kim Beazley, AC, WA State Governor, past three WA Governors were UWA graduates
Federal Government minister and Attorney-General, the Hon. Christian Porter and many current and past Federal Members of Parliament
Nobel Prize winners Professor Barry Marshall, AC and Emeritus Professor Robin Warren, AC
Chancellor of the University of Western Australia, Dr Robert French, AC, former Chief Justice of the High Court
Academy Award winner Shaun Tan
former Premier, the Hon Colin Barnett as well as many State Members of Parliament and ministers
five of the last six Australian Ambassadors to China
and thousands of other leaders across all fields of human endeavour and community activity.","Airport pickup and reception services
Canteen/Cafeteria Facility
Course and career counselling services
Halal food
International student clubs and associations
Library on Campus
Off campus accommodation
On campus medical facilities
Parking
Religious facilities - Combined facilities
Religious facilities - Muslim prayer rooms
Social activities
Special English language
Special enrolment and orientation
Sporting facilities
Sporting facilities - Gym
Sporting facilities - Swimming pool
Sporting facilities - Team sports
Sporting facilities - Variety of clubs
Temporary accommodation on arrival
Wifi
",NO,YES,YES,YES,YES,https://www.uwa.edu.au/,https://www.uwa.edu.au/study/international-students/fees-and-scholarships/uwa-funded-scholarships,"1.On Campus Accommodation - UWA's residential colleges - commonly referred to as College Row - provide hassle-free student accommodation in Perth. You'll enjoy an amazing lifestyle that includes meals, WI-Fi, all your utilities and a great community of friends.

2.Off Campus Accommodation - Crawley Village student accommodation is a collective group of residential houses, units and studio apartments owned and operated by UWA.

3.Short-term accommodation - The University owns 10 short-term accommodation properties, located close to the main campus. All units are air-conditioned and furnished, including bed linen, towels and cooking utensils.",,,,University,77,7,"Group of Eight, Matariki",00126G,,,,,,,,"Agricultural, Environmental and Biological Sciences; Architecture, Design and Planning; Business and Commerce; Data and Computer Science; Education; Engineering; Health and Biomedical Sciences; Humanities and Social Sciences; Law; Music and Fine Arts; Physical Sciences and Mathematics; Psychology",YES,,https://www.uwa.edu.au/students/my-course/fees-and-payments/loans/us-financial-aid,https://www.uwa.edu.au/students/your-studies/important-dates,https://www.uwa.edu.au/students/new-students/international-students,https://www.uwa.edu.au/study/fees-and-scholarships,https://www.uwa.edu.au/study/international-students/fees-and-scholarships,https://www.uwa.edu.au/study/international-students,https://www.uwa.edu.au/study/how-to-apply/postgraduate-research,https://www.uwa.edu.au/study/research/research-scholarships,,INTO Global,YES,,,,,,https://www.uwa.edu.au/study/-/media/uwafs/docs/course-guides/2025/uwa-2025-international-course-guide.pdf,UWA,499
SN_P_0014,University of Canberra,University of Canberra,Australia,Active,Public,Education,Education Group,"The University of Canberra is a diverse and exciting learning organisation that provides courses at its Bruce campus in Canberra, and through partners in Sydney, Melbourne and Queensland, and internationally.

Our courses include undergraduate courses, Graduate Certificates, Graduate Diplomas, Masters by Coursework, Masters by Research, professional doctorates and research doctorates. You can search for and find our courses and units on our Courses and Units Database.","Airport pickup and reception services
Canteen/Cafeteria Facility
Course and career counselling services
Halal food
International student clubs and associations
Library on Campus
Off campus accommodation
On campus medical facilities
Parking
Religious facilities - Combined facilities
Religious facilities - Muslim prayer rooms
Social activities
Special English language
Special enrolment and orientation
Sporting facilities
Sporting facilities - Gym
Sporting facilities - Swimming pool
Sporting facilities - Team sports
Sporting facilities - Variety of clubs
Wifi
",NO,YES,YES,YES,,https://www.canberra.edu.au/,https://www.canberra.edu.au/uc-college/courses/international-scholarships,"Choosing on-campus housing where you will live with lots of others, or finding your own place in Canberra depends on your preference and budget. It is important to  start your search early, to secure accommodation in Canberra.

Experience the excitement of living in a truly multi-national community and making new friends with both local and international students at UC Lodge, Cooper Lodge, Weeden Lodge, and the Campus West.

First year domestic and both new and continuing international students are guaranteed accommodation.

If you prefer to live off-campus or you haven't been able to secure a place at one of the University approved student accommodation, you have a number of options including homestays, commercial and private rentals, share accommodation and furnished apartments.

To help you transition to life at UC, we're pleased to offer our accommodation guarantee: confirmation that all first-year domestic and new or continuing international students are guaranteed places in our student housing.

A selection of student residences are available at different price points from rooms in multi-share apartments to private studios and units and we're sure you'll find one to suit.

To take advantage of our accommodation guarantee, simply tick the accommodation guarantee box when you accept your offer to study with us, then apply directly with one of our trusted accommodation providers.",,,,University Preparation,494,27,NA,00212K,,,,,,,,"Arts and Design, Business, Government and Law, Education, Science and Technology, Health",YES,,https://www.canberra.edu.au/Policies/PolicyProcedure/Index/218,https://www.canberra.edu.au/future-students/apply-to-uc/key-dates,https://www.canberra.edu.au/current-students/international-students,https://www.canberra.edu.au/future-students/study-at-uc/fees-and-costs/international-fees-and-costs,https://www.canberra.edu.au/future-students/study-at-uc/scholarships,https://www.canberra.edu.au/future-students/study-at-uc/international,https://www.canberra.edu.au/research/graduate-research/future-research-students/types-of-research-degrees,https://www.canberra.edu.au/uc-research/graduate-research/university-research-scholarships,,Navitas,YES,,,,,,https://www.canberra.edu.au/future-students/careers-advisors-and-agents/information-for-agents/international-agent-marketing-toolkit/international-course-guide,"Canberra, UC",225
SN_P_0015,Navitas English Services Pty Ltd,Navitas English,Australia,Active,Private,Education,Education Group,"Navitas English is the largest provider of English language training in Australia. Each year at our schools we teach English Language Intensive Courses for Overseas Students (ELICOS) to more than 8,000 students of over 50 nationalities. We've been doing it for more than 30 years.

Navitas English has more than 70 direct entry pathways with higher education providers. That's more than any other Australian English language school. We prepare you to succeed in higher education in Australia. Our Academic English program has a 95 percent pass rate.

We manage English language training for international students at Perth's North Metropolitan TAFE. Navitas English is accredited by the Tertiary Education Quality and Standards Agency (TEQSA), and is a founding member of industry association English Australia.","Airport pickup and reception services
Canteen/Cafeteria Facility
Course and career counselling services
International student clubs and associations
Off campus accommodation
Social activities
Special English language
Sporting facilities
Sporting facilities - Gym
Wifi
",NO,YES,YES,,,https://www.navitasenglish.edu.au/,NA,"Homestay - Homestay is a great, affordable way to experience the Australian lifestyle and practise your English with native speakers outside the classroom.

Become a Homestay Family - Homestay families play an important role in welcoming our students to Australia.Homestay families come in all shapes and sizes, many hosts develop lifelong friendships with their students.

Independent - With options to suit all budgets, Navitas English can help you organise independent accommodation in a guest house, hostel, hotel or apartment.

Renting - For more independent living, you can rent a property or a room in a house.",,,,University Preparation,N/A,N/A,"Navitas, Tertiary Education Quality and Standards Agency (TEQSA), Australian Skills Quality Authority (ASQA), International Education Association of Australia (IEAA), English Australia",00289M,,,,,,,,English Language Programs,YES,,http://www.navitasenglish.edu.au/apply/policies/conditions-of-enrolment/,https://www.navitasenglish.edu.au/courses/course-calendar/,https://www.navitasenglish.edu.au/services/student-support/,https://www.navitasenglish.edu.au/wp-content/uploads/tuition-fees-2025.pdf,NA,https://www.navitasenglish.edu.au/,NA,NA,,Navitas,YES,,,,,,https://www.navitasenglish.edu.au/wp-content/uploads/navitas-english-student-guide.pdf,,134
SN_P_0016,Charles Darwin University International College,Charles Darwin University International College,Australia,Active,Public,Education,Education Group,"CDU's International College Pathways program is suitable for students at all levels of education. We provide clear pathways and easy transition between courses from vocational through to postgraduate study. We are offering three pathways within our International College:

International Foundation Studies Program
First year Diplomas (International Diploma of Business Studies or International Diploma of Information Technology)
Pre-masters (International Masters Preparation Program or International Masters Qualifying Programs)
These are specifically designed programs to ensure you get the most out of your studies. We want to help you meet your goals and prepare yourself for the real world.","Canteen/Cafeteria Facility
Course and career counselling services
International student clubs and associations
Library on Campus
Off campus accommodation
On campus medical facilities
Religious facilities - Combined facilities
Special English language
Sporting facilities
Sporting facilities - Swimming pool
Transportation
Wifi
",NO,YES,NO,YES,YES,https://www.cdu.edu.au/international/charles-darwin-university-international-college,https://www.cdu.edu.au/international/how-apply/scholarships,"Casuarina accommodation: Right on campus, International House Darwin (IHD) is part of the International Houses network in Australia and overseas. IHD Casuarina campus is a way of life and a residential community for both local and international students. People come together to not only learn and study, but build relationships, personal journeys, and their future.

Katherine accommodation: Katherine Student Accommodation (KSA) includes a recreation room, dining room, sports oval, training and conference facilities and a pool. These facilities are available to all residents - whether living here on a short or long-term stay or visiting from any school groups or conference groups.

Alice Springs accommodation: The Alice Springs Student Accommodation (ASSA) is for CDU students, students from other universities undertaking placement, CDU staff and visiting guests, and groups. We offer twin share and sole occupancy rooms across two houses, as well as communal kitchen areas, a self-service laundry and access to WiFi via the CDU/Eduroam network.

The CDU off-campus accommodation service is designed to help new and continuing students and staff to find accommodation while studying or working at CDU. We offer a FREE and confidential service providing information and advice on housing options, tenancy advice and support and assistance with accommodation problems",,,,University Preparation,584,30,NA,00300K,,,,,,,,"Business Studies, Information Technology, Health",YES,,NA,https://www.cdu.edu.au/international/charles-darwin-university-international-college,https://www.cdu.edu.au/current-students/life-wellbeing,https://www.cdu.edu.au/international/how-apply/international-fees-payments,https://www.cdu.edu.au/international/how-apply/scholarships,https://www.cdu.edu.au/international/charles-darwin-university-international-college,NA,NA,,Up Education,YES,,,,,,https://cdu.up.education/wp-content/uploads/2024/01/CDUIC-Prospectus-2024-120124.pdf,"CDU, UP Education",369
SN_P_0017,SAE Creative Media Institute,SAE Creative Media Institute,Australia,Active,Private,Education,Education Group,"SAE Creative Media Institute has been delivering outstanding industry-focused education since 1976. We have set the benchmark for Higher Education and VET qualifications in creative media because we know these industries and we know how to train industry-ready graduates.

We love what we do and we are committed to the provision of education options that challenge, develop and inspire.

We are the world's leading educator in creative industries because we work closely with our industry partners, we employ specialist teachers with real-world experience, and we deliver personalised education in world-class facilities.

Our specialised courses in creative media are responsive to the dynamic and evolving nature of these industries. We keep our finger on the pulse and think outside the square to help you reach your potential and realise your dreams.","Canteen/Cafeteria Facility
Course and career counselling services
Library on Campus
Off campus accommodation
On campus medical facilities
Parking
Social activities
Special English language
Special enrolment and orientation
Sporting facilities
Wifi
",NO,YES,YES,,,https://sae.edu.au/,https://sae.edu.au/how-to-apply/intl-scholarships/,Byron Bay Campus and Perth campus: Secure and affordable on-campus student accommodation,,,,Private Higher Education,N/A,N/A,"Tertiary Education Quality Standards Agency (TEQSA), Australian Skills Quality Authority (ASQA)",00312F,,,,,,,,"Animation, Audio, Design, Film, Games, Music, Creative Technology",YES,,https://sae.edu.au/about-us/policies-procedures/,https://sae.edu.au/current-students/academic-calendars/,https://sae.edu.au/life-at-sae/international-student-support/,https://sae.edu.au/how-to-apply/international-fees-payments/,https://sae.edu.au/how-to-apply/international-scholarships/,NA,NA,NA,,Navitas,YES,,,,,,https://sae.edu.au/life-at-sae/international-student-guide/,SAE,189
SN_P_0018,Eynesbury College,Eynesbury,Australia,Active,Private,Education,Education Group,"Eynesbury offers the most comprehensive range of pathway programs in South Australia, which provides maximum flexibility in assisting students to gain entry to their chosen degree pathway and in preparing them for academic success at University. As a leading pathway provider for almost 30 years, we have successfully prepared thousands of students for university in Australia. Our specialist approach combines small class sizes, experienced teachers and close academic guidance to support students in academic preparation for university.

Within the city of Adelaide, Eynesbury has an excellent reputation as a leading senior high school. Eynesbury students are expected to be independent learners, but also enjoy significant academic support. Eynesbury High School students are consistently placed in the top 1% of students in South Australia, with more than 99% of them being offered a place at a university of their choice.

This same level of academic support prepares our Foundation Studies students for direct entry into their program at The University of Adelaide, or University of South Australia, or any other university in Australia.

Diploma students will experience the same small class sizes, with teachers who are specialists in their field. Upon completion, Diploma students will be fast tracked into the second year at university.","Airport pickup and reception services
Canteen/Cafeteria Facility
Course and career counselling services
International student clubs and associations
Library on Campus
Off campus accommodation
Social activities
Special English language
Special enrolment and orientation
Temporary accommodation on arrival
Wifi
",YES,YES,YES,,,https://www.eynesbury.navitas.com/,https://www.eynesbury.edu.au/university-south-australia/scholarships/,"EYNESBURY HOMEAWAY: Eynesbury now has a purpose built environmentally friendly student residence available to students who are under 18 years of age and are studying a program with Eynesbury. International students who are under 18 years of age may only apply for Eynesbury Home away or home stay accommodation.

HOMESTAY: Homestay accommodation provides students the opportunity to live with an Australian family. Students living in this environment are introduced to Australian culture and have the best opportunity of developing their language skills by using English on a regular basis in everyday situations.

STUDENT APARTMENTS: Numerous student apartments are situated in the city centre close to Eynesbury. Student apartments are generally only available to students. Apartments are fully equipped including a kitchen, bathroom, bedroom, heating and cooling, living and study areas. Single, twin and double accommodation options are available. 6 or 12 month leases are available for a room in 2 to 7 bedroom apartments.

PRIVATE RENTAL ACCOMMODATION: Private rental accommodation, usually a lease or contract for 6 to 12 months, should only be arranged after you arrive in Adelaide. Assistance is available from the Eynesbury Accommodation Office

TEMPORARY ACCOMMODATION: Temporary accommodation is available in the form of a share dormitory [usually backpackers], hostel or hotel accommodation.
We can assist in finding short-term accommodation for your parents or family if they travel to Adelaide with you.",,,,University Preparation,N/A,N/A,NA,00561M,,,,,,,,"Foundation Studies, Business, Computing & IT, Engineering, English language programs",YES,,https://www.eynesbury.navitas.com/policies,https://www.eynesbury.navitas.com/important-dates,https://www.eynesbury.navitas.com/microsites/Pre-departure/student-services,https://www.eynesbury.navitas.com/fees,https://www.eynesbury.navitas.com/scholarships,https://www.eynesbury.edu.au/,NA,NA,,Navitas,YES,,,,,,https://www.eynesbury.edu.au/how-apply/entry-requirements/,,252
SN_P_0019,University of Tasmania (UTAS),University of Tasmania,Australia,Active,Public,Education,Education Group,"Our creative minds capture our unique land and seascapes, reminding us why our island is worth fighting for. They tell stories that resonate far away. Our institutions lead in medical, agricultural, social and environmental research. Our small setting allows us to test big ideas, leading to greater outcomes for the world.

We welcome all enquiring minds, from near and far, to join our pursuit. Every one of our students becomes part of a welcoming, collaborative community. And our whole island becomes their campus.

We are the University of Tasmania.","Airport pickup and reception services
Canteen/Cafeteria Facility
Course and career counselling services
International student clubs and associations
Library on Campus
Off campus accommodation
On campus medical facilities
Parking
Religious facilities - Christianity
Religious facilities - Combined facilities
Religious facilities - Muslim prayer rooms
Social activities
Special English language
Special enrolment and orientation
Sporting facilities
Sporting facilities - Gym
Sporting facilities - Team sports
Sporting facilities - Variety of clubs
Wifi
",NO,YES,YES,NO,NO,http://www.utas.edu.au/,https://www.utas.edu.au/study/scholarships-fees-and-costs/international-scholarships,"University Student Accommodation - The University provides on-campus and off-campus student accommodation in Hobart and Launceston through Accommodation Services.

Home Stay - You live with an Australian host so you can practice your English and learn more about Australian culture in a safe, caring and rewarding environment.

Under-18 Accommodation - If you are under 18 and studying at the University of Tasmania, you must have approved accommodation/welfare arrangements.

Shared rental accommodation - Sharing a rental house off-campus with other students is a popular option for many university students. Shared rental accommodation is advertised on noticeboards around the university (especially the Tasmanian University Union Building).

Private rental housing - If you're coming with your family, your own rental property is a good option. Private rentals are advertised by local estate agents or online.",,,,University,314,20,NA,00586B,,,,,,,,"Agriculture, Architecture and Design, Art, Music and Theatre, Economics, Computing and IT, Law, Marine and Antarctic, Maritime Studies, Media, Medicine, Nursing, Pharmacy, Psychology, Science",YES,,https://www.utas.edu.au/library/about/policies,https://www.utas.edu.au/key-dates,https://www.utas.edu.au/international/the-tasmanian-experience/facilities-and-support,https://www.utas.edu.au/international/applying/international-fees,https://www.utas.edu.au/scholarships/international-students,https://www.utas.edu.au/international,https://www.utas.edu.au/our-research/research-degrees,https://www.utas.edu.au/research/degrees/scholarships,,ECA,YES,,,,,,https://www.utas.edu.au/__data/assets/pdf_file/0004/1707664/university-of-tasmania-undergraduate-course-guide-2025.pdf,UTAS,467
SN_P_0020,UTS College,UTS College,Australia,Active,Private,Education,Independent,"Our programs transform the lives of over 5,000 students from 75 different countries every year.  With our help, they develop skills, confidence and credentials to prepare them for university.

We offer leading academic English programs, UTS Foundation Studies and higher education diplomas that are designed with UTS entry requirements in mind. Each year, over 90% of our diploma graduates achieve the marks they need to enter a UTS bachelor degree. 

UTS College is the premium pathway provider to the University of Technology Sydney, Australia's number 1 young university. Our vision is to actualise potential and enhance lives through the power of learning, our actions and our people. 

Our people share a deep commitment to supporting students to achieve their academic and career goals. We believe that any student with the potential to succeed at UTS should have every opportunity to get there. Our mission is to provide these opportunities and to bring university success within reach of more people around the world. 

Insearch Limited (UTS College) is a controlled entity of the University of Technology Sydney (UTS), and a registered private higher education provider of pathways to UTS.","Airport pickup and reception services
Course and career counselling services
International student clubs and associations
Library on Campus
Off campus accommodation
On campus medical facilities
Religious facilities - Combined facilities
Social activities
Special English language
Special enrolment and orientation
Sporting facilities
Sporting facilities - Gym
Sporting facilities - Team sports
Sporting facilities - Variety of clubs
Transportation
Wifi
",NO,YES,YES,YES,,https://utscollege.edu.au/,https://www.uts.edu.au/for-students/admissions-entry/scholarships/international,"If you are under or over 18 years of age and new to Australia you currently have two accommodation options.

1. Homestay - Living with a local family is a great way for you to experience life in Australia and practise your spoken English.

2. Urbanest -  Urbanest is one of Australia's largest providers of student accommodation. Each building is purpose-built featuring ultra-modern facilities including study areas, collaboration zones and social spaces to connect with friends.

Note that international students under 18 must reside in UTS College approved accommodation/welfare arrangements or accommodation approved by the Department of Home Affairs.",,,,University Preparation,96,9,Australian Technology Network,00859D,,,,,,,,"English Language, Business, Communication, Design & Architecture, Engineering, Information Technology, Law, Science and Mathematics",YES,,https://utscollege.edu.au/getmedia/7981ec56-d940-459c-9325-fcf8b4fdc5b6/Deferring-or-Cancelling-Student-Enrolment-Policy-Dec-2019-(updated).pdf,https://utscollege.edu.au/how-to-apply/important-dates,https://utscollege.edu.au/au/why-choose-uts-college/getting-ready-for-uts-college/student-support,https://utscollege.edu.au/how-to-apply/program-fees,https://utscollege.edu.au/how-to-apply/scholarships,https://utscollege.edu.au/,NA,NA,,,YES,,,,,,https://utscollege.edu.au/getmedia/f5048c26-3ecb-46ac-8807-ab125cc7a930/UTS-College-International-Prospectus-Guide.pdf,UTS,339
SN_P_0021,Western Sydney University,Western Sydney University,Australia,Active,Public,Education  ,Education Group,"Western Sydney University is ranked among the world's best 100 young universities. list ranks modern universities from around the globe based on their research and teaching quality, international outlook, connections with industry, and innovation. Western Sydney University is now ranked at 56 in The Times Higher Education Top 100 Under 50 years.
With a focus on equipping our graduates to be workplace ready. Our curriculum reflects the needs of the world we live in. In pioneering a model of learning that treats our strategic partners as co-creators in education, we work with business and industry leaders to develop course content that meets the needs of employers, the jobs of the future, and responds to the challenges of a global workplace. Our approach recognizes that learning doesn't just happen in the classroom. Instead, we offer a combination of on-campus, online, and clinical learning environments, with real-life work experience in professional and community settings.","Airport pickup and reception services
Canteen/Cafeteria Facility
Course and career counselling services
International student clubs and associations
Library on Campus
On campus medical facilities
Overseas graduations
Parking
Religious facilities - Combined facilities
Religious facilities - Muslim prayer rooms
Social activities
Special English language
Special enrolment and orientation
Sporting facilities
Sporting facilities - Gym
Sporting facilities - Team sports
Sporting facilities - Variety of clubs
Transportation
Wifi
",NO,YES,YES,YES,YES,https://www.westernsydney.edu.au/,https://www.westernsydney.edu.au/international/applying/fees-and-costs/scholarships,"Western Sydney University offers a wide range of on-campus accommodation, providing you with high quality, affordable accommodation that gives a rich and balanced living and learning environment.",,,,University,400,22,NA,00917K,,,,,,,,"Arts, Business, Creative Industries, Engineering and Built Environment, Forensics, Health and Sports Sciences, Information and Communications Technology, Law, Medicine, Nursing, Criminology and Policing, Psychology, Sciences, Social Sciences, Teaching and Education",YES,,"https://www.westernsydney.edu.au/currentstudents/current_students/enrolment/adding,_dropping_and_changing_units/withdrawing_without_academic_penalty",https://www.westernsydney.edu.au/currentstudents/current_students/dates,https://www.westernsydney.edu.au/international/home/study_and_life/study_and_life_at_uws,https://www.westernsydney.edu.au/international/home/apply/admissions/course_fees,https://www.westernsydney.edu.au/international/home/apply/admissions/scholarships,https://www.westernsydney.edu.au/international/home,https://www.westernsydney.edu.au/future/study/courses/research,https://www.westernsydney.edu.au/schools/grs/scholarships,,Navitas,YES,,,,,,https://www.westernsydney.edu.au/international/home/contact_international/contact/agents/forms_and_prospectus,"UWS, WESTERN SYDNEY, SYD",157
